sortir - indicatif - passé_simple - deuxième_singulier,sortir,sortis,\ty sɔʁ.ti\,indicatif,passé simple,deuxième_singulier
sortir - indicatif - passé_simple - troisième_singulier,sortir,sortit,\[il/ɛl/ɔ̃] sɔʁ.ti\,indicatif,passé simple,troisième_singulier
sortir - indicatif - passé_simple - première_pluriel,sortir,sortîmes,\nu sɔʁ.tim\,indicatif,passé simple,première_pluriel
sortir - indicatif - passé_simple - deuxième_pluriel,sortir,sortîtes,\vu sɔʁ.tit\,indicatif,passé simple,deuxième_pluriel
sortir - indicatif - passé_simple - troisième_pluriel,sortir,sortirent,\[il/ɛl] sɔʁ.tiʁ\,indicatif,passé simple,troisième_pluriel
sortir - indicatif - futur_simple - première_singulier,sortir,sortirai,\ʒə sɔʁ.ti.ʁe\,indicatif,futur simple,première_singulier
sortir - indicatif - futur_simple - deuxième_singulier,sortir,sortiras,\ty sɔʁ.ti.ʁa\,indicatif,futur simple,deuxième_singulier
sortir - indicatif - futur_simple - troisième_singulier,sortir,sortira,\[il/ɛl/ɔ̃] sɔʁ.ti.ʁa\,indicatif,futur simple,troisième_singulier
sortir - indicatif - futur_simple - première_pluriel,sortir,sortirons,\nu sɔʁ.ti.ʁɔ̃\,indicatif,futur simple,première_pluriel
sortir - indicatif - futur_simple - deuxième_pluriel,sortir,sortirez,\vu sɔʁ.ti.ʁe\,indicatif,futur simple,deuxième_pluriel
sortir - indicatif - futur_simple - troisième_pluriel,sortir,sortiront,\[il/ɛl] sɔʁ.ti.ʁɔ̃\,indicatif,futur simple,troisième_pluriel
sortir - subjonctif - présent - première_singulier,sortir,sorte,\kə ʒə sɔʁt\,subjonctif,présent,première_singulier
sortir - subjonctif - présent - deuxième_singulier,sortir,sortes,\kə ty sɔʁt\,subjonctif,présent,deuxième_singulier
sortir - subjonctif - présent - troisième_singulier,sortir,sorte,\k‿[il/ɛl/ɔ̃] sɔʁt\,subjonctif,présent,troisième_singulier
sortir - subjonctif - présent - première_pluriel,sortir,sortions,\kə nu sɔʁ.tjɔ̃\,subjonctif,présent,première_pluriel
sortir - subjonctif - présent - deuxième_pluriel,sortir,sortiez,\kə vu sɔʁ.tje\,subjonctif,présent,deuxième_pluriel
sortir - subjonctif - présent - troisième_pluriel,sortir,sortent,\k‿[il/ɛl] sɔʁt\,subjonctif,présent,troisième_pluriel
sortir - subjonctif - imparfait - première_singulier,sortir,sortisse,\kə ʒə sɔʁ.tis\,subjonctif,imparfait,première_singulier
sortir - subjonctif - imparfait - deuxième_singulier,sortir,sortisses,\kə ty sɔʁ.tis\,subjonctif,imparfait,deuxième_singulier
sortir - subjonctif - imparfait - troisième_singulier,sortir,sortît,\k‿[il/ɛl/ɔ̃] sɔʁ.ti\,subjonctif,imparfait,troisième_singulier
sortir - subjonctif - imparfait - première_pluriel,sortir,sortissions,\kə nu sɔʁ.ti.sjɔ̃\,subjonctif,imparfait,première_pluriel
sortir - subjonctif - imparfait - deuxième_pluriel,sortir,sortissiez,\kə vu sɔʁ.ti.sje\,subjonctif,imparfait,deuxième_pluriel
sortir - subjonctif - imparfait - troisième_pluriel,sortir,sortissent,\k‿[il/ɛl] sɔʁ.tis\,subjonctif,imparfait,troisième_pluriel
sortir - conditionnel - présent - première_singulier,sortir,sortirais,\ʒə sɔʁ.ti.ʁɛ\,conditionnel,présent,première_singulier
sortir - conditionnel - présent - deuxième_singulier,sortir,sortirais,\ty sɔʁ.ti.ʁɛ\,conditionnel,présent,deuxième_singulier
sortir - conditionnel - présent - troisième_singulier,sortir,sortirait,\[il/ɛl/ɔ̃] sɔʁ.ti.ʁɛ\,conditionnel,présent,troisième_singulier
sortir - conditionnel - présent - première_pluriel,sortir,sortirions,\nu sɔʁ.ti.ʁjɔ̃\,conditionnel,présent,première_pluriel
sortir - conditionnel - présent - deuxième_pluriel,sortir,sortiriez,\vu sɔʁ.ti.ʁje\,conditionnel,présent,deuxième_pluriel
